MCoV-16794	23.05
MCoV-43890	26.02
MCoV-43888	28.97
MCoV-43693	29.7
MCoV-43691	29.93
MCoV-43920	34.13
MCoV-43870	35.64
MCoV-43811	17.38
MCoV-43729	19.09
MCoV-43741	19.88
MCoV-43716	21.43
MCoV-43871	25.05
MCoV-43752	27.92
MCoV-43894	29.05
MCoV-43640	35.94
MCoV-43921	39.15
MCoV-43931	18.63
MCoV-43844	20.1
MCoV-43933	33.38
MCoV-43848	36.66
MCoV-43755	39.24
MCoV-43925	39.47
MCoV-43709	16.19
MCoV-43859	19.57
MCoV-43688	21.24
MCoV-43807	21.94
MCoV-43733	23.66
MCoV-43808	24.85
MCoV-43821	25.89
MCoV-43739	28.66
MCoV-43657	31.04
MCoV-43649	33
MCoV-43831	33.52
MCoV-43887	34.1
MCoV-43874	36.77
MCoV-43936	38.39
MCoV-43677	38.46
MCoV-43875	39.54
MCoV-43793	14.14
MCoV-43904	17.85
MCoV-43768	18.14
MCoV-43923	18.37
MCoV-43856	21.72
MCoV-43668	26.49
MCoV-43748	27.83
MCoV-43898	30.03
MCoV-43685	36.12
MCoV-43724	36.89
MCoV-43770	37.34
MCoV-43883	37.67
MCoV-43658	37.77
MCoV-43914	38.52
MCoV-43728	39.08
MCoV-43858	39.84
MCoV-43863	16.09
MCoV-43853	16.76
MCoV-43738	17.06
MCoV-43785	17.12
MCoV-43824	17.78
MCoV-43800	17.97
MCoV-43861	18.78
MCoV-43884	19.11
MCoV-43624	20.06
MCoV-43876	20.09
MCoV-43943	20.43
MCoV-43781	20.56
MCoV-43734	20.58
MCoV-43731	21.05
MCoV-43746	22.91
MCoV-43679	22.95
MCoV-43929	23.89
MCoV-43826	24.13
MCoV-43671	24.27
MCoV-43723	24.6
MCoV-43857	25.47
MCoV-43909	25.48
MCoV-43816	25.76
MCoV-43780	26.17
MCoV-43763	26.25
MCoV-43648	26.3
MCoV-43721	26.97
MCoV-43665	27.4
MCoV-43956	28.11
MCoV-43722	30.01
MCoV-43949	30.37
MCoV-43692	31.04
MCoV-42348	31.47
MCoV-43765	31.58
MCoV-43634	31.95
MCoV-43786	32.81
MCoV-43835	33.21
MCoV-43818	34.09
MCoV-43944	34.19
MCoV-43694	34.6
MCoV-43809	35.05
MCoV-43774	35.55
MCoV-42429	35.56
MCoV-43608	36.44
MCoV-42472	37.32
MCoV-43938	37.61
MCoV-43637	37.61
MCoV-43747	37.71
MCoV-43902	38.25
MCoV-43928	39.25
MCoV-42344	39.31
MCoV-43700	39.44
MCoV-42391	39.46
MCoV-43952	39.75
MCoV-42471	40.11
MCoV-43639	40.41
MCoV-43754	40.84
MCoV-42436	40.88
MCoV-43737	16.45
MCoV-16984	21.41
MCoV-43845	22.34
MCoV-43813	22.56
MCoV-43683	23.13
MCoV-43607	25.19
MCoV-43847	25.33
MCoV-43708	27.02
MCoV-43799	27.55
MCoV-43796	29.51
MCoV-43935	30
MCoV-43611	32.12
MCoV-43852	32.13
MCoV-43638	32.64
MCoV-43854	34.18
MCoV-43817	34.2
MCoV-43828	40.46
MCoV-43830	40.76
MCoV-15652	14.91
MCoV-15676	15.05
MCoV-15787	16.69
MCoV-43957	17.17
MCoV-15686	17.42
MCoV-15647	17.57
MCoV-15753	17.83
MCoV-15819	18.06
MCoV-15732	18.85
MCoV-15643	19.41
MCoV-15821	19.43
MCoV-15703	19.9
MCoV-15788	19.94
MCoV-15645	20.41
MCoV-15795	20.91
MCoV-15673	21.19
MCoV-15707	21.21
MCoV-15642	21.29
MCoV-15731	21.39
MCoV-15663	23.72
MCoV-15807	23.86
MCoV-15724	24.36
MCoV-15763	24.46
MCoV-15687	25.22
MCoV-15682	25.88
MCoV-15649	26.33
MCoV-15718	26.73
MCoV-43919	26.93
MCoV-15820	27.5
MCoV-15657	27.86
MCoV-15689	27.92
MCoV-15717	28.47
MCoV-15672	29.6
MCoV-15667	29.63
MCoV-15715	29.84
MCoV-43842	29.85
MCoV-43840	29.89
MCoV-15716	30.01
MCoV-15738	30.19
MCoV-15747	30.29
MCoV-43926	30.3
MCoV-15750	30.33
MCoV-15685	30.43
MCoV-15798	31.66
MCoV-43917	32.06
MCoV-15665	32.59
MCoV-43911	32.8
MCoV-15658	33.1
MCoV-15752	33.33
MCoV-16934	33.72
MCoV-15797	34.22
MCoV-15691	34.31
MCoV-15708	34.36
MCoV-15680	34.79
MCoV-15656	35.07
MCoV-15771	35.23
MCoV-43961	35.42
MCoV-15786	35.94
MCoV-15728	36.1
MCoV-15773	36.24
MCoV-43795	36.54
MCoV-43953	36.75
MCoV-15679	37.2
MCoV-15783	37.2
MCoV-15698	37.22
MCoV-15690	37.37
MCoV-15712	37.41
MCoV-15730	37.65
MCoV-15706	38.06
MCoV-15784	38.18
MCoV-15749	38.18
MCoV-15666	38.72
MCoV-15711	38.74
MCoV-15714	38.91
MCoV-15688	38.92
MCoV-15651	38.96
MCoV-15800	39.03
MCoV-15733	39.24
MCoV-15822	39.33
MCoV-15692	39.45
MCoV-15662	39.46
MCoV-43869	40
MCoV-15709	40.43
MCoV-15677	40.57
MCoV-15674	40.99
MCoV-15739	40.99
MCoV-16003	40.99
MCoV-15654	40.99
MCoV-16816	12.62
MCoV-16848	15.18
MCoV-16869	15.27
MCoV-16827	16.53
MCoV-15858	16.69
MCoV-15988	16.93
MCoV-16020	16.99
MCoV-15766	17.7
MCoV-15946	17.86
MCoV-15777	18.01
MCoV-15802	18.02
MCoV-16009	18.13
MCoV-15897	18.22
MCoV-15782	18.27
MCoV-16905	18.3
MCoV-16985	18.31
MCoV-15794	18.94
MCoV-15844	18.94
MCoV-15854	19.18
MCoV-15758	19.26
MCoV-15951	19.76
MCoV-15945	19.86
MCoV-15952	19.95
MCoV-16976	20.46
MCoV-16817	20.52
MCoV-15774	20.56
MCoV-16833	20.6
MCoV-16920	20.67
MCoV-16948	20.9
MCoV-16866	21.21
MCoV-15847	21.21
MCoV-16831	21.35
MCoV-16927	21.42
MCoV-16950	21.54
MCoV-15864	21.95
MCoV-16801	22
MCoV-15927	22.01
MCoV-16969	22.37
MCoV-17043	22.46
MCoV-15967	22.52
MCoV-16977	22.53
MCoV-16796	22.6
MCoV-16854	22.63
MCoV-16925	22.78
MCoV-16810	22.93
MCoV-15995	23.07
MCoV-15779	23.39
MCoV-15768	24.16
MCoV-15977	24.2
MCoV-16914	24.45
MCoV-15955	24.6
MCoV-15870	24.61
MCoV-17020	24.71
MCoV-15939	24.72
MCoV-15896	24.96
MCoV-16973	25.1
MCoV-16814	25.21
MCoV-15986	25.24
MCoV-16805	25.62
MCoV-15928	26.02
MCoV-16870	26.19
MCoV-15953	26.27
MCoV-16872	26.33
MCoV-15827	26.47
MCoV-15907	26.57
MCoV-15935	26.61
MCoV-15790	26.73
MCoV-16019	26.74
MCoV-17007	26.88
MCoV-15843	27.08
MCoV-16904	27.24
MCoV-16923	27.39
MCoV-15754	27.58
MCoV-15887	27.8
MCoV-16897	27.87
MCoV-16921	27.88
MCoV-15817	27.9
MCoV-16951	28.01
MCoV-16876	28.16
MCoV-16896	28.22
MCoV-15853	28.24
MCoV-16000	28.27
MCoV-15920	28.29
MCoV-16867	28.65
MCoV-15970	28.89
MCoV-15938	28.97
MCoV-17057	29.01
MCoV-16829	29.25
MCoV-16918	29.51
MCoV-16853	29.62
MCoV-15838	29.67
MCoV-15895	29.95
MCoV-15969	30
MCoV-15882	30
MCoV-15832	30.1
MCoV-16968	30.11
MCoV-16001	30.15
MCoV-15962	30.28
MCoV-16887	30.45
MCoV-16835	30.51
MCoV-15863	30.55
MCoV-16922	30.61
MCoV-15990	30.85
MCoV-15848	30.87
MCoV-15757	30.89
MCoV-16881	30.98
MCoV-16961	31.02
MCoV-15956	31.04
MCoV-15893	31.05
MCoV-16901	31.21
MCoV-16865	31.5
MCoV-15878	31.58
MCoV-16965	31.74
MCoV-17009	31.76
MCoV-15805	32.04
MCoV-15950	32.28
MCoV-15814	32.3
MCoV-17067	32.36
MCoV-15940	32.62
MCoV-16875	32.71
MCoV-16016	32.93
MCoV-16943	33.01
MCoV-16842	33.2
MCoV-15780	33.24
MCoV-15804	33.42
