MCoV-43674	20.5
MCoV-43758	30.8
MCoV-43773	31.7
MCoV-43682	40
MCoV-15669	16.6
MCoV-17145	30.6
MCoV-17050	31
MCoV-43366	32.2
MCoV-49455	32.8
MCoV-49503	35.5
MCoV-43354	20.2
MCoV-43266	24.1
MCoV-43399	25.6
MCoV-43248	29.9
MCoV-43221	32.1
MCoV-43301	32.2
MCoV-43239	35.4
MCoV-43289	36.4
MCoV-43202	36.6
MCoV-48699	30.8
MCoV-49414	35.8
MCoV-48558	38.7
MCoV-49294	14.7
MCoV-48782	28
MCoV-48799	28.6
MCoV-49217	30.1
MCoV-49203	39.1
MCoV-49776	20.8
MCoV-43159	29.8
MCoV-48254	32.9
MCoV-48253	37.6
MCoV-42851	32
MCoV-42585	29.2
MCoV-42648	40.1
MCoV-41977	23.5
MCoV-42107	37.5
MCoV-41000	23.8
MCoV-41014	28
MCoV-41010	28.7
MCoV-41023	31.2
MCoV-40995	34.7
MCoV-41054	36.9
MCoV-42006	39.7
MCoV-40742	31.1
MCoV-40756	34.3
MCoV-46255	28.7
MCoV-46335	30.5
MCoV-45301	21
MCoV-45386	37.2
MCoV-45151	36.3
MCoV-44035	39
MCoV-44519	22.9
MCoV-46558	31.2
MCoV-45480	22.1
MCoV-34327	37.6
MCoV-40571	29.3
MCoV-40399	32.2
MCoV-40389	35.1
MCoV-40106	28.4
MCoV-39924	33.6
MCoV-39743	38.4
MCoV-39793	29.1
MCoV-39836	39.2
MCoV-39467	19.2
MCoV-39709	28.3
MCoV-39693	35.9
MCoV-39472	36.5
MCoV-39577	26.5
MCoV-35410	33.8
MCoV-35408	33.9
MCoV-39576	39.2
MCoV-35391	25.2
MCoV-35409	35.5
MCoV-34813	32.3
MCoV-14035	28.1
MCoV-14093	33.1
MCoV-34779	37.5
MCoV-13981	38.2
MCoV-34799	15.1
MCoV-13737	34
MCoV-13773	41.6
MCoV-12943	32.9
MCoV-12800	28.4
MCoV-13674	22.5
MCoV-13447	12.9
MCoV-13335	28.3
MCoV-13095	15.1
MCoV-13006	32.1
MCoV-12692	27.4
MCoV-12695	35.4
MCoV-12713	31.1
MCoV-12659	33.3
MCoV-12748	36.9
MCoV-12616	37
MCoV-12599	37.7
MCoV-14356	37.1
MCoV-14293	41.5
MCoV-14482	30.8
MCoV-14601	27.3
MCoV-14626	41.4
MCoV-15148	36.7
MCoV-15428	37.4
MCoV-15563	36.8
MCoV-16132	40.1
MCoV-16410	30.8
MCoV-16685	26.2
MCoV-17175	27.9
MCoV-17272	28
MCoV-17606	17.2
MCoV-17921	33.1
MCoV-17885	26.1
MCoV-18014	29.2
MCoV-18078	41
MCoV-18283	42.4
MCoV-18475	14.9
MCoV-18649	30.1
MCoV-37716	24.4
MCoV-34725	26.3
MCoV-34679	26.4
MCoV-37656	22.8
MCoV-37377	14.7
MCoV-37004	28.4
MCoV-37981	25.2
MCoV-37813	34.5
MCoV-37831	34.9
MCoV-36037	14.6
MCoV-33477	22.1
MCoV-36335	36.2
MCoV-31926	21.2
MCoV-31907	21.7
MCoV-34287	33.5
MCoV-22891	17.7
MCoV-33719	25
MCoV-34023	19.5
MCoV-34258	11.9
MCoV-33691	18.4
MCoV-21093	13.7
MCoV-21090	20.3
MCoV-19890	27.3
MCoV-20125	43.8
MCoV-20005	33.9
MCoV-20357	20.9
MCoV-20523	34.7
MCoV-20682	29.4
MCoV-20661	31.8
MCoV-20616	32.1
MCoV-21441	24.3
MCoV-21428	30.9
MCoV-22146	19.6
MCoV-22122	38
MCoV-21961	20.1
MCoV-22307	26
MCoV-22385	27.9
MCoV-22463	17.1
MCoV-22966	22.2
MCoV-23040	23.2
MCoV-23047	30.6
MCoV-24560	32.4
MCoV-24723	32.7
MCoV-25202	27.2
MCoV-25268	27.5
MCoV-28595	34.5
MCoV-30030	22.2
MCoV-29580	37.3
MCoV-29227	24.9
MCoV-29333	44.9
MCoV-26846	39.3
MCoV-26728	38.9
MCoV-26570	18.5
MCoV-25800	22.8
MCoV-26362	37.6
MCoV-26993	35.1
MCoV-27046	15.9
MCoV-27548	41.4
MCoV-27852	28.7
MCoV-27582	31.7
MCoV-27964	33.8
MCoV-27963	41.3
MCoV-28602	25.8
MCoV-28217	17.7
MCoV-28395	22.6
MCoV-28768	27.7
MCoV-28989	26.4
MCoV-31235	36.9
MCoV-31102	23.4
MCoV-30917	28
MCoV-30877	21.9
MCoV-31313	37.1
MCoV-32466	24.3
MCoV-35572	17.2
MCoV-35739	32.2
MCoV-36144	19.1
MCoV-35713	39.2
MCoV-37284	42.9
MCoV-37171	37.7
MCoV-38162	19
MCoV-38247	18.5
MCoV-38346	25.5
MCoV-38322	34.4
MCoV-38666	36.3
MCoV-38919	19.4
MCoV-38949	35.6
MCoV-41203	37.9
MCoV-41448	23.2
MCoV-42980	15.9
MCoV-44133	31.6
MCoV-44196	23.2
MCoV-45580	18.2
MCoV-46759	44.9
MCoV-47630	36.1
MCoV-47661	23.4
MCoV-48067	36.8
MCoV-48149	28.1
MCoV-48127	38.9
MCoV-49107	38
MCoV-50162	40.9
MCoV-50423	36.7
MCoV-50890	14.6
MCoV-51445	20.6
MCoV-51463	17
MCoV-51448	17.1
MCoV-51543	31.4
MCoV-51899	13.9
MCoV-51873	18.2
MCoV-52017	29.9
MCoV-52279	10.8
MCoV-52589	37.7
MCoV-53002	16.6
MCoV-53781	17
MCoV-53806	22.3
MCoV-53776	26
MCoV-53530	32.4
MCoV-53700	32.4
MCoV-54523	31.6
MCoV-54415	36.7
MCoV-54666	32.4
MCoV-54754	34.2
MCoV-55003	16.4
MCoV-54956	27.7
MCoV-55482	15.1
MCoV-55293	35.4
MCoV-56252	35.5
MCoV-56730	17.3
MCoV-56967	21.7
MCoV-57358	37.8
MCoV-57782	21.1
MCoV-57192	32.7
MCoV-57756	15.6
MCoV-57727	41.3
MCoV-57751	43.8
MCoV-57949	30.9
MCoV-57924	35.7
MCoV-58017	41.6
MCoV-58198	24.6
MCoV-58103	32.7
MCoV-58658	16.3
MCoV-58737	26.3
MCoV-58775	25.1
MCoV-58851	27.7
MCoV-58757	32.3
MCoV-59616	22.9
MCoV-59221	35.1
MCoV-59169	28.8
MCoV-59989	24.3
MCoV-60184	32.2
MCoV-60271	16.6
MCoV-60145	25.8
MCoV-61440	28.6
MCoV-61443	37.5
MCoV-61984	26.5
MCoV-61987	32.2
MCoV-61870	34
MCoV-60998	32.2
MCoV-61154	35.6
MCoV-61072	40.2
MCoV-61082	29.7
MCoV-61897	33.7
MCoV-62002	35.8
MCoV-62528	25.3
MCoV-62139	33
MCoV-62399	22.7
MCoV-62458	28.1
MCoV-62412	33.1
MCoV-62554	38.1
MCoV-62763	31.3
MCoV-62653	19.2
MCoV-63051	30.6
MCoV-62988	31.7
MCoV-63258	36.7
MCoV-63276	30.4
MCoV-63167	35.5
MCoV-63277	41
MCoV-63448	20.9
MCoV-63695	24.1
MCoV-63521	25.9
MCoV-63452	33.2
MCoV-63750	20.1
MCoV-64123	20.6
MCoV-63751	25.8
MCoV-63821	26.4
MCoV-63692	30.4
MCoV-63703	33.2
MCoV-63710	38.1
MCoV-63977	14.1
MCoV-64085	16.6
MCoV-63963	21.4
MCoV-63900	26.1
MCoV-63885	30.7
MCoV-63943	31.6
MCoV-63865	33.2
MCoV-63907	22.3
MCoV-63978	27.2
MCoV-63882	33.9
MCoV-64112	34.1
MCoV-64240	22.9
MCoV-64345	16.5
MCoV-64375	17.2
MCoV-64379	19.3
MCoV-64326	21.1
MCoV-64358	29.4
MCoV-64525	18.3
MCoV-64479	20.3
MCoV-64542	21.1
MCoV-64475	23.3
MCoV-64533	23.7
MCoV-64519	24.3
MCoV-64453	35.8
MCoV-64677	24.3
MCoV-64763	28.3
MCoV-64785	31.4
MCoV-64760	40.7
MCoV-64984	25.2
MCoV-64865	26.9
MCoV-64970	27.4
MCoV-64931	32.7
MCoV-64982	36.2
MCoV-64891	36.8
MCoV-64917	33.1
MCoV-64870	36.8
MCoV-65191	18.7
MCoV-65226	44.7
MCoV-65245	23.6
MCoV-65303	31.1
MCoV-65434	31.1
MCoV-65387	18.2
MCoV-65631	32.1
MCoV-65619	32.6
MCoV-65717	24.1
MCoV-65839	33.9
MCoV-69212	18.2
MCoV-69146	26.4
MCoV-69848	28.6
MCoV-69460	18.5
MCoV-69358	30.7
MCoV-70159	17.2
MCoV-69563	28
MCoV-69824	33.1
MCoV-69697	39.3
MCoV-70195	26
MCoV-70125	26.1
MCoV-70328	26.1
MCoV-70090	33.4
MCoV-69872	28.7
MCoV-70074	38.4
MCoV-70208	18.9
MCoV-70415	19.2
MCoV-70472	21.3
MCoV-70421	23.2
MCoV-70438	26
MCoV-70640	24.2
MCoV-70658	31.4
MCoV-70887	35.9
MCoV-71378	20.1
MCoV-71457	26.1
MCoV-71000	32.1
MCoV-71909	27.3
MCoV-71918	34
MCoV-71891	37.6
MCoV-71795	23.8
MCoV-73277	24.6
MCoV-73351	16
MCoV-73390	22.4
MCoV-73272	31.5
MCoV-73380	43
MCoV-72872	22.9
MCoV-73222	24.7
MCoV-73077	30.4
MCoV-73156	30.6
MCoV-74092	23.4
MCoV-74071	26.3
MCoV-74629	26.3
MCoV-73235	35.4
MCoV-73866	37.5
MCoV-75650	17.4
MCoV-75098	20.3
MCoV-75109	20.9
MCoV-74935	21.3
MCoV-74538	22.2
MCoV-75071	23.1
MCoV-75654	24.5
MCoV-75090	27.1
MCoV-74956	38.2
MCoV-75651	40.7
MCoV-75805	21.8
MCoV-75976	23.6
MCoV-75817	26.9
MCoV-75474	30.5
MCoV-75602	33.2
MCoV-76452	12.1
MCoV-77714	14.9
MCoV-76313	19.6
MCoV-76450	23.4
MCoV-76542	24.5
MCoV-76531	25.3
MCoV-76485	26.2
MCoV-76350	27
MCoV-76456	27.2
MCoV-76211	27.9
MCoV-76336	28.5
MCoV-76455	28.6
MCoV-76113	29.3
MCoV-76454	29.9
MCoV-76529	30.3
MCoV-76344	32.5
MCoV-76238	32.9
MCoV-76624	33
MCoV-76530	34
MCoV-76532	38.3
MCoV-77278	15.4
MCoV-77642	16.2
MCoV-76779	17.7
MCoV-77364	18
MCoV-77595	19.2
MCoV-77279	21.2
MCoV-77206	21.3
MCoV-77412	23
MCoV-77128	23.2
MCoV-77592	24.4
MCoV-77174	26.4
MCoV-77125	26.6
MCoV-77628	28.1
MCoV-77334	32.2
MCoV-77122	37.4
MCoV-77129	39.7
MCoV-77280	41.1
MCoV-77002	18.6
MCoV-76896	21.1
MCoV-76855	21.4
